,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32
2025-06-11 09:29:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-11 09:32:10,,,,,,,,,,,,,,,102.58033828173598,,,100.16660923247382,,,,,,102.34142344914231,,,,,99.15348842467064,,,
2025-06-11 09:32:20,,,,,,,,,,,,,,,102.58812885310606,,,100.16839315281308,,,,,,102.34183612863372,,,,,99.15419302798529,,,
2025-06-11 09:32:30,,,,,,,,,,,,,,,102.5959415511413,,,100.17017080802144,,,,,,102.34225135135193,,,,,99.15490340040111,,,
2025-06-11 09:32:40,,,,,,,,,,,,,,,102.60377643320923,,,100.17194221838304,,,,,,102.34266912965765,,,,,99.15561957264845,,,
2025-06-11 09:32:50,,,,,,,,,,,,,,,102.61163355678661,,,100.1737074041224,,,,,,102.34308947593148,,,,,99.15634157557984,,,
2025-06-11 09:33:00,,,,,,,,,,,,,,,102.61951297945772,,,100.1754663854056,,,,,,102.34351240257423,,,,,99.15706944017138,,,
2025-06-11 09:33:10,,,,,,,,,,,,,,,102.62741475891481,,,100.17721918234054,,,,,,102.34393792200727,,,,,99.15780319752287,,,
2025-06-11 09:33:20,,,,,,,,,,,,,,,102.63533895295517,,,100.17896581497646,,,,,,102.34436604667239,,,,,99.15854287885817,,,
2025-06-11 09:33:30,,,,,,,,,,,,,,,102.64328561948284,,,100.18070630330405,,,,,,102.34479678903229,,,,,99.15928851552604,,,
2025-06-11 09:33:40,,,,,,,,,,,,,,,102.65125481650618,,,100.18244066725708,,,,,,102.34523016157061,,,,,99.16004013900077,,,
2025-06-11 09:33:50,,,,,,,,,,,,,,,102.65924660214229,,,100.18416892671125,,,,,,102.34566617679226,,,,,99.16079778088233,,,
2025-06-11 09:34:00,,,,,,,,,,,,,,,102.66726103460931,,,100.18589110148484,,,,,,102.34610484722334,,,,,99.16156147289696,,,
2025-06-11 09:34:10,,,,,,,,,,,,,,,102.67529817223618,,,100.18760721133891,,,,,,102.34654618541175,,,,,99.16233124689808,,,
2025-06-11 09:34:20,,,,,,,,,,,,,,,102.68335807345969,,,100.18931727597759,,,,,,102.34699020392699,,,,,99.16310713486624,,,
2025-06-11 09:34:30,,,,,,,,,,,,,,,102.69144079680345,,,100.19102131504816,,,,,,102.34743691536063,,,,,99.16388916891017,,,
2025-06-11 09:34:40,,,,,,,,,,,,,,,102.699546400916,,,100.19271934814213,,,,,,102.34788633232642,,,,,99.16467738126707,,,
2025-06-11 09:34:50,,,,,,,,,,,,,,,102.70767494454016,,,100.19441139479395,,,,,,102.34833846746031,,,,,99.16547180430334,,,
2025-06-11 09:35:00,,,,,,,,,,,,,,,102.71582648652839,,,100.19609747448271,,,,,,102.34879333342089,,,,,99.1662724705148,,,
2025-06-11 09:35:10,,,,,,,,,,,,,,,102.72400108582977,,,100.19777760663125,,,,,,102.34925094288964,,,,,99.16707941252741,,,
2025-06-11 09:35:20,,,,,,,,,,,,,,,102.73219880150492,,,100.19945181060669,,,,,,102.34971130857086,,,,,99.1678926630979,,,
2025-06-11 09:35:30,,,,,,,,,,,,,,,102.74041969271256,,,100.20112010572124,,,,,,102.35017444319195,,,,,99.16871225511389,,,
2025-06-11 09:35:40,,,,,,,,,,,,,,,102.74866381871378,,,100.20278251123159,,,,,,102.35064035950379,,,,,99.16953822159488,,,
2025-06-11 09:35:50,,,,,,,,,,,,,,,102.75693123888074,,,100.2044390463401,,,,,,102.35110907028086,,,,,99.170370595693,,,
2025-06-11 09:36:00,,,,,,,,,,,,,,,102.76522201268091,,,100.20608973019375,,,,,,102.35158058832133,,,,,99.1712094106929,,,
2025-06-11 09:36:10,,,,,,,,,,,,,,,102.7735361996833,,,100.20773458188528,,,,,,102.35205492644724,,,,,99.17205470001232,,,
2025-06-11 09:36:20,,,,,,,,,,,,,,,102.78187385956595,,,100.20937362045342,,,,,,102.352532097505,,,,,99.17290649720317,,,
2025-06-11 09:36:30,,,,,,,,,,,,,,,102.79023505210102,,,100.21100686488282,,,,,,102.35301211436531,,,,,99.17376483595183,,,
2025-06-11 09:36:40,,,,,,,,,,,,,,,102.79861983716847,,,100.21263433410373,,,,,,102.35349498992322,,,,,99.17462975007948,,,
2025-06-11 09:36:50,,,,,,,,,,,,,,,102.80702827474329,,,100.21425604699363,,,,,,102.35398073709905,,,,,99.1755012735436,,,
2025-06-11 09:37:00,,,,,,,,,,,,,,,102.81546042489084,,,100.21587202237593,,,,,,102.35446936883767,,,,,99.17637944043726,,,
2025-06-11 09:37:10,,,,,,,,,,,,,,,102.82391634780305,,,100.2174822790214,,,,,,102.35496089810937,,,,,99.17726428499006,,,
2025-06-11 09:37:20,,,,,,,,,,,,,,,102.83239610375753,,,100.21908683564786,,,,,,102.35545533790945,,,,,99.17815584156891,,,
2025-06-11 09:37:30,,,,,,,,,,,,,,,102.84089975312962,,,100.22068571091997,,,,,,102.3559527012596,,,,,99.17905414467849,,,
2025-06-11 09:37:40,,,,,,,,,,,,,,,102.8494273564022,,,100.22227892344974,,,,,,102.35645300120675,,,,,99.17995922896155,,,
