,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32
2025-06-11 09:29:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-11 09:32:10,,,,,,,,,,,,,,,0.1705059965355246,,,0.062109865025091644,,,,,,0.082502732678996,,,,,0.13860227580370255,,,
2025-06-11 09:32:20,,,,,,,,,,,,,,,0.17091954249625305,,,0.06109775076411653,,,,,,0.082502732678996,,,,,0.1308264827867562,,,
2025-06-11 09:32:30,,,,,,,,,,,,,,,0.17658588216535573,,,0.06318326926315129,,,,,,0.082502732678996,,,,,0.12603853698602036,,,
2025-06-11 09:32:40,,,,,,,,,,,,,,,0.1796418052033681,,,0.06336104765047461,,,,,,0.07673006260679528,,,,,0.11796582082954428,,,
2025-06-11 09:32:50,,,,,,,,,,,,,,,0.1709783694514702,,,0.06336104589435591,,,,,,0.07143178327933349,,,,,0.12024419940503339,,,
2025-06-11 09:33:00,,,,,,,,,,,,,,,0.1730407805305396,,,0.05411978511898282,,,,,,0.06142331521661408,,,,,0.11424565275974437,,,
2025-06-11 09:33:10,,,,,,,,,,,,,,,0.16702655565068492,,,0.061477434541031606,,,,,,0.052196685974054614,,,,,0.12367513137485818,,,
2025-06-11 09:33:20,,,,,,,,,,,,,,,0.1630856496719993,,,0.061477434541031606,,,,,,0.052196687730173295,,,,,0.11936738265315917,,,
2025-06-11 09:33:30,,,,,,,,,,,,,,,0.16251388799735622,,,0.07315005825359969,,,,,,0.06252680284699293,,,,,0.11744124787371517,,,
2025-06-11 09:33:40,,,,,,,,,,,,,,,0.16304900872472985,,,0.06919717595187026,,,,,,0.07497081844092843,,,,,0.12311808321266868,,,
2025-06-11 09:33:50,,,,,,,,,,,,,,,0.15732438166199714,,,0.05789485941545373,,,,,,0.08087429005889717,,,,,0.10806473483705648,,,
2025-06-11 09:34:00,,,,,,,,,,,,,,,0.16089961638229852,,,0.05809242010574978,,,,,,0.08819969261710589,,,,,0.10853843858773173,,,
2025-06-11 09:34:10,,,,,,,,,,,,,,,0.17145297365499365,,,0.06414761251537654,,,,,,0.0880423397683845,,,,,0.10947715036282683,,,
2025-06-11 09:34:20,,,,,,,,,,,,,,,0.19409883550662085,,,0.06414761251537654,,,,,,0.08196624354805043,,,,,0.11129015267576263,,,
2025-06-11 09:34:30,,,,,,,,,,,,,,,0.20535967473158248,,,0.06414761251537654,,,,,,0.07402487395815747,,,,,0.12138576625559286,,,
2025-06-11 09:34:40,,,,,,,,,,,,,,,0.21609080436730638,,,0.06414761251537654,,,,,,0.07276039845256928,,,,,0.12138576625559286,,,
2025-06-11 09:34:50,,,,,,,,,,,,,,,0.22835507329094937,,,0.06414761251537654,,,,,,0.07276039845256928,,,,,0.11105565289489178,,,
2025-06-11 09:35:00,,,,,,,,,,,,,,,0.2284528693685369,,,0.05108410719945003,,,,,,0.07276039845256928,,,,,0.1030687645018664,,,
2025-06-11 09:35:10,,,,,,,,,,,,,,,0.22576858060482052,,,0.04681520013850094,,,,,,0.07203589409044048,,,,,0.11059113799353001,,,
